#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
3420.0%,2216.568359375,281.6116873246361,0.30085906306723326,398
3430.0%,2154.9189453125,301.17358871157484,0.30085906306723326,398
3440.0%,2270.810546875,285.59345932500986,0.30085906306723326,398
3450.0%,2178.751953125,317.9785647669658,0.30085906306723326,398
3460.0%,2237.7392578125,290.91440699841246,0.30085906306723326,399
3470.0%,2166.94140625,308.53327766030975,0.30085906306723326,399
3480.0%,2210.68359375,303.27548266639593,0.30085906306723326,399
3490.0%,2193.34765625,313.95993729473514,0.30085906306723326,399
3500.0%,2209.8115234375,321.5370736607145,0.30085906306723326,399
3510.0%,2190.40234375,308.5140796547621,0.30085906306723326,399
3520.0%,2148.271484375,305.7184414098291,0.30085906306723326,399
3530.0%,2176.7744140625,284.0142406127902,0.30085906306723326,399
3540.0%,2119.9853515625,307.22618668991896,0.30085906306723326,399
3550.0%,2139.560546875,308.9522389615754,0.30085906306723326,399
3560.0%,2191.841796875,279.5675363758533,0.30085906306723326,399
3570.0%,2162.8798828125,305.22479655386763,0.30085906306723326,399
3580.0%,2167.8759765625,295.13886384840555,0.30085906306723326,399
3590.0%,2151.59765625,315.52745705074096,0.30085906306723326,399
3600.0%,2172.62890625,328.8124226495599,0.30085906306723326,399
3610.0%,2204.8974609375,278.24366624034366,0.30085906306723326,399
3620.0%,2157.7978515625,324.2396546810923,0.30085906306723326,399
3630.0%,2133.9921875,326.21869455713534,0.30085906306723326,399
3640.0%,2269.7626953125,294.2988989233816,0.30085906306723326,399
3650.0%,2124.0751953125,322.7910322059196,0.30085906306723326,399
3660.0%,2162.7724609375,291.1548148394732,0.30085906306723326,399
3670.0%,2120.8681640625,302.53305433036644,0.30085906306723326,399
3680.0%,2069.1396484375,310.76494257686255,0.30085906306723326,399
3690.0%,2080.6796875,291.87059155743333,0.30085906306723326,399
3700.0%,2093.84375,302.5544905706056,0.30085906306723326,399
3710.0%,2070.986328125,304.0174362431997,0.30085906306723326,399
3720.0%,2154.623046875,287.6776732497188,0.30085906306723326,399
3730.0%,2055.4833984375,319.8671518062915,0.30085906306723326,399
3740.0%,2135.1650390625,291.66954431147,0.30085906306723326,399
3750.0%,2129.458984375,285.9245455837796,0.30085906306723326,399
3760.0%,2151.1318359375,296.1088263165703,0.30085906306723326,399
3770.0%,2123.7080078125,309.97396556009653,0.30085906306723326,399
3780.0%,2166.3486328125,293.47205080195874,0.30085906306723326,399
3790.0%,2149.8359375,287.18023790000876,0.30085906306723326,399
3800.0%,2189.701171875,305.8998382938396,0.30085906306723326,399
3810.0%,2187.869140625,294.3379537810127,0.30085906306723326,399
3820.0%,2129.0830078125,308.6156191577168,0.30085906306723326,399
3830.0%,2169.5673828125,299.0504875813305,0.30085906306723326,399
3840.0%,2125.9248046875,325.0147684760418,0.30085906306723326,399
